service_id,date,exception_type
340904,20191202,1
210704,20191202,1
142204,20191202,1
13304,20191202,1
150804,20191202,1
123704,20191202,1
128004,20191202,1
340904,20191203,1
210704,20191203,1
142204,20191203,1
13304,20191203,1
1004,20191203,1
128004,20191203,1
340904,20191204,1
210704,20191204,1
142204,20191204,1
13304,20191204,1
150804,20191204,1
1004,20191204,1
128004,20191204,1
340904,20191205,1
210704,20191205,1
142204,20191205,1
13304,20191205,1
1004,20191205,1
128004,20191205,1
276904,20191206,1
210704,20191206,1
13304,20191206,1
150804,20191206,1
1004,20191206,1
252002,20191207,1
340904,20191209,1
210704,20191209,1
123704,20191209,1
128004,20191209,1
340904,20191210,1
210704,20191210,1
1004,20191210,1
128004,20191210,1
340904,20191211,1
210704,20191211,1
1004,20191211,1
128004,20191211,1
340904,20191212,1
210704,20191212,1
1004,20191212,1
128004,20191212,1
276904,20191213,1
340804,20191213,1
1004,20191213,1
252002,20191214,1
190002,20191214,1
190103,20191215,1
340904,20191216,1
123704,20191216,1
128004,20191216,1
193604,20191216,1
340904,20191217,1
1004,20191217,1
128004,20191217,1
193604,20191217,1
340904,20191218,1
1004,20191218,1
128004,20191218,1
193604,20191218,1
340904,20191219,1
1004,20191219,1
128004,20191219,1
193604,20191219,1
276904,20191220,1
340804,20191220,1
1004,20191220,1
193604,20191220,1
252002,20191221,1
190002,20191221,1
247302,20191221,1
190103,20191222,1
340904,20191223,1
128004,20191223,1
193604,20191223,1
102904,20191223,1
136504,20191223,1
340904,20191224,1
128004,20191224,1
193604,20191224,1
102904,20191224,1
19,20191225,1
4,20191225,2
340904,20191226,1
128004,20191226,1
193604,20191226,1
102904,20191226,1
276904,20191227,1
340804,20191227,1
193604,20191227,1
102904,20191227,1
136504,20191227,1
252002,20191228,1
190002,20191228,1
247302,20191228,1
190103,20191229,1
340904,20191230,1
128004,20191230,1
193604,20191230,1
102904,20191230,1
136504,20191230,1
11,20191231,1
4,20191231,2
20,20200101,1
4,20200101,2
340904,20200102,1
128004,20200102,1
189904,20200102,1
65504,20200102,1
276904,20200103,1
340804,20200103,1
189904,20200103,1
65504,20200103,1
136504,20200103,1
190002,20200104,1
247302,20200104,1
194803,20200105,1
340904,20200106,1
210704,20200106,1
142204,20200106,1
13304,20200106,1
150804,20200106,1
123704,20200106,1
128004,20200106,1
189904,20200106,1
65504,20200106,1
136504,20200106,1
340904,20200107,1
210704,20200107,1
142204,20200107,1
13304,20200107,1
1004,20200107,1
128004,20200107,1
189904,20200107,1
65504,20200107,1
340904,20200108,1
210704,20200108,1
142204,20200108,1
13304,20200108,1
150804,20200108,1
1004,20200108,1
128004,20200108,1
189904,20200108,1
65504,20200108,1
136504,20200108,1
340904,20200109,1
210704,20200109,1
142204,20200109,1
13304,20200109,1
1004,20200109,1
128004,20200109,1
189904,20200109,1
65504,20200109,1
276904,20200110,1
340804,20200110,1
210704,20200110,1
13304,20200110,1
150804,20200110,1
1004,20200110,1
189904,20200110,1
65504,20200110,1
136504,20200110,1
190002,20200111,1
247302,20200111,1
194803,20200112,1
340904,20200113,1
210704,20200113,1
142204,20200113,1
13304,20200113,1
150804,20200113,1
123704,20200113,1
128004,20200113,1
189904,20200113,1
65504,20200113,1
136504,20200113,1
340904,20200114,1
210704,20200114,1
142204,20200114,1
13304,20200114,1
1004,20200114,1
128004,20200114,1
